Domande,Risposte
Quali sono le regole che definiscono un cammino d'Italia?,"1. Percorsi fisici lineari e fruibili;
2. Presenza di segnaletica orizzontale e/o verticale per ogni tappa;
3. Percorso fruibile in sicurezza;
4. Percentuale di strade asfaltate non superiore al 40%;
5. Tappe dotate di tutti i servizi di supporto al camminatore;
6. Descrizione on-line sul Sito di riferimento di ogni tappa;
7. Servizi di alloggio e ristorazione entro 5 km dal Cammino;
8. Presenza di un “organo di governo” del Cammino;
9. Garanzia di vigilanza e manutenzione del percorso;
10. Georeferenziazione del percorso;
11. Sito del Cammino costantemente aggiornato."
Quanto è lungo il Cammino dei Borghi Silenti?,È lungo 90 km
Quanti sono i cammini in Italia?,41 cammini attualmente nell'Atlante
Dove ci si può accampare nel Cammino del Gran Sasso?,"All’interno del Parco del Gran Sasso non si può campeggiare.
Nel Comune di Santo Stefano di Sessanio, nel 2024 sarà di nuovo attivo il campeggio."
Quali sono le tappe del Cammino dei Ribelli?,"Tappa 1: Arquata Scrivia – Persi
Lunghezza: 13 km
Dislivello: +400 m dislivello

Tappa 2: Persi – Albera Ligure
versione estiva: nelle Strette del Borbera
Lunghezza: 15 km
Dislivello: +330 m
versione invernale: per Roncoli – Rivarossa
Lunghezza: 17,5 km
Dislivello: +800 m

Tappa 3: Albera Ligure – Cosola
Lunghezza: 15 km
Dislivello: +800 m

Tappa 4: Cosola – Fontanachiusa
versione borghi (impegnativa)
Lunghezza: 22 km
Dislivello:+ 1000 metri
versione crinali (meno impegnativa)
Lunghezza: 18 km
Dislivello: +1000 metri

Tappa 5: Fontanachiusa – Dova Superiore
Lunghezza: 20 km
Dislivello: +900 metri

Tappa 6: Dova Superiore – Roccaforte Ligure
Lunghezza: 18 km
Dislivello: +700 metri

Tappa 7: Roccaforte Ligure – Arquata Scrivia
Lunghezza: 20 km
Dislivello: +600 metri"
Quali sono i cammini riconosciuti nel Veneto?,Cammino delle Dolomiti — Via Claudia Augusta — Cammino delle colline del Prosecco — Romea Germanica — Romea Strata — Cammino di Sant’Antonio — Cammino Fogazzaro-Roi
Qual è il cammino più lungo d'Italia?,"Il cammino più lungo d'Italia è la Romea Strata, lunga 1068 km"
Quali sono le percentuali di donne che hanno partecipato ad un cammino?,il 44%
Qual è la storia del Cammino di Dante?,"Il Cammino di Dante è frutto di anni di ricerche ed esplorazioni sia in biblioteca che sul campo. L’intuizione di un percorso incentrato sulla figura del Poeta è di Giordano Bezzi, ravennate. Dal 2011 al 2015, partendo da un’idea, ha pian piano disegnato i contorni di questo percorso, creandolo e nella sua forma attuale. Il lavoro si può dividere in tre grandi fasi, in parte sovrapposte tra loro: 1) ricerca e studio bibliografico; 2) ricerca ed esplorazione sul campo; 3) confronto con e supporto degli esperti (storici e dantisti). Il tutto è stato portato avanti in prima persona da Giordano Bezzi, con l’aiuto di Fabrizio Fantini. 

Sulla base delle informazioni raccolte tramite ricerca bibliografica – prevalentemente documenti e studi sia sulla viabilità medievale nel territorio tosco-emiliano e romagnolo, sia sulla vita di Dante Alighieri – è iniziata la parte di ricerca sul campo, una fase di esplorazione “fisica” durata quasi cinque anni. 

Il lavoro originale compiuto sul campo è stato quello di individuare le strade antiche che attraversano l’Appennino tra Ravenna e Firenze, di selezionare i luoghi – città o punti di interesse – che contenessero rimandi importanti alla vita di Dante o alla Divina Commedia; e infine creare delle tappe percorribili, assicurandosi che il tutto fosse legato in un unicum coerente e omogeneo. In pratica, Bezzi e Fantini hanno ripercorso gli sentieri dell’Appennino tosco-romagnolo plausibilmente collegati alla vita del Poeta, così come ai Canti della Divina Commedia, fino a selezionare le attuali tappe. L’attuale percorso proposto, di circa 400 km, non è che una minima parte del territorio esplorato, ed è il risultato di scelte ponderate sulla base di criteri di percorribilità, fattibilità, e interesse storico-letterario."
Dove sono le fonti d'acqua nel Cammino dei Forti?,"TAPPA 1:
Nella piazza di San Severino Marche vicino all’ufficio della Pro Loco, proprio dove ha inizio il cammino. 1 km circa prima di Crispiero. All’arrivo a Crispiero. 

TAPPA 2:
Nel paese di Castelraimondo vicino alla Torre del Cassero e anche del paese di Gagliole vicino alla Rocca dei Varano.
Lungo il percorso ci saranno due fonti naturali. Una all’Abbazia di Roti ed una in una località denominata Acqua dell’Olmo, poco prima di arrivare all’Aie di Macciano.

TAPPA 3:
Sotto il monte San Vicino troverete una fresca sorgente lungo il sentiero 209. Anche quando sarete arrivati ad Elcito troverete una sorgente ad aspettarvi.

TAPPA 4:
Alla partenza da Elcito troverete la prima sorgente. Arrivati a Chigiano troverete un’altra sorgente. A Corsciano troverete un Bar e Alimentari, poi proseguendo verso Aliforni, prima di iniziare la salita verso la torre, ci sarà ad attendervi una fontana. Anche al vostro arrivo a Pitino troverete una fontana.

TAPPA 5:
Alla partenza da Pitino troverete la stessa fontana, poi ci saranno fonti di acqua a Marciano e Sant’Elena."
